,TimeMinute,AlcoholBloodConcentration,HeartRate,ImmediateMemoryPct,ShortTermMemoryPct,ArithmeticTotalTime,ArithmeticCorrectnessPct,LogicalTime,InterpretationCorrectnessPct,MedianReaction,MeanReaction,VarReaction,ReactionCorrectnessPct,ReactionTime
0,0,0.0,60,86.66666666666667,86.66666666666667,65.195,100.0,227,80.0,0.422,0.43022222222222223,0.0036661728395061713,90.0,"[0.383, 0.489, 0.399, 0.403, 0.34, 0.404, 0.422, 0.4, 0.424, 0.5, 0.432, 0.507, 0.337, 0.444, 0.368, 0.575, 0.422, 0.495]"
1,5,40.6,62,86.66666666666667,86.66666666666667,77.133,93.33333333333333,161,66.66666666666666,0.458,0.5302631578947367,0.06413366759002771,95.0,"[0.592, 0.542, 0.427, 0.428, 0.416, 0.451, 0.462, 0.494, 0.507, 0.458, 0.38, 0.423, 1.578, 0.425, 0.567, 0.443, 0.508, 0.431, 0.543]"
2,31,70.4,70,100.0,66.66666666666666,78.999,93.33333333333333,185,33.33333333333333,0.437,0.4643529411764706,0.008599640138408304,85.0,"[0.765, 0.558, 0.453, 0.417, 0.432, 0.537, 0.435, 0.515, 0.359, 0.342, 0.472, 0.429, 0.464, 0.427, 0.437, 0.391, 0.461]"
3,55,68.0,102,80.0,93.33333333333333,72.714,93.33333333333333,164,73.33333333333333,0.467,0.5123157894736843,0.010623900277008312,95.0,"[0.507, 0.453, 0.467, 0.512, 0.463, 0.493, 0.686, 0.463, 0.673, 0.476, 0.45, 0.446, 0.357, 0.463, 0.615, 0.445, 0.46, 0.797, 0.508]"
4,80,55.4,96,80.0,86.66666666666667,67.977,100.0,238,80.0,0.4595,0.5347777777777777,0.07861739506172837,90.0,"[0.671, 0.458, 0.437, 0.396, 0.341, 0.399, 0.528, 0.412, 0.461, 0.494, 0.446, 0.388, 0.451, 0.486, 0.557, 1.65, 0.511, 0.54]"
5,109,42.4,79,100.0,86.66666666666667,86.515,93.33333333333333,264,80.0,0.474,0.481578947368421,0.0055996121883656515,95.0,"[0.489, 0.478, 0.542, 0.468, 0.421, 0.436, 0.441, 0.371, 0.44, 0.482, 0.517, 0.501, 0.474, 0.486, 0.503, 0.755, 0.424, 0.466, 0.456]"
6,135,47.5,77,80.0,93.33333333333333,78.234,93.33333333333333,156,73.33333333333333,0.4785,0.4922777777777777,0.006623200617283951,90.0,"[0.542, 0.502, 0.433, 0.378, 0.414, 0.483, 0.512, 0.474, 0.451, 0.611, 0.5, 0.524, 0.446, 0.424, 0.735, 0.558, 0.445, 0.429]"
7,160,42.8,72,93.33333333333333,93.33333333333333,70.931,100.0,248,66.66666666666666,0.4705,0.49666666666666676,0.008954777777777777,90.0,"[0.422, 0.544, 0.533, 0.413, 0.445, 0.426, 0.536, 0.456, 0.404, 0.47, 0.479, 0.449, 0.486, 0.461, 0.833, 0.549, 0.563, 0.471]"
